Docente;Bolsista de Produtividade (PQ ou DT);Nota Docente;Periódicos A1-A4(2021-2024);Regra: B > 0 OU (C >= 2.25 E D >= 1)
Giovanni Ventorim Comarela;0;8.75;4;True
Rodolfo da Silva Villaca;0;5.0;6;True
