"ISSN","Título","Área de Avaliação","Estrato"
"2358-6273","BOLETIM DE PESQUISA E DESENVOLVIMENTO EMBRAPA","CIÊNCIAS AMBIENTAIS","B3"
"0046-9939","BOLETIM DO INSTITUTO DE PESCA (IMPRESSO)","CIÊNCIAS AMBIENTAIS","A4"
"1678-2305","BOLETIM DO INSTITUTO DE PESCA (ONLINE)","CIÊNCIAS AMBIENTAIS","A4"
"0102-4337","BOLETIM DO LABORATÓRIO DE HIDROBIOLOGIA (UFAMA. IMPRESSO)","CIÊNCIAS AMBIENTAIS","C"
"0103-9121","BOLETIM DO MUSEU DE BIOLOGIA MELLO LEITAO","CIÊNCIAS AMBIENTAIS","C"
"2317-5206","BOLETIM DO MUSEU INTEGRADO DE RORAIMA (ONLINE)","CIÊNCIAS AMBIENTAIS","B1"
"1981-8122","BOLETIM DO MUSEU PARAENSE EMÍLIO GOELDI. CIÊNCIAS HUMANAS","CIÊNCIAS AMBIENTAIS","A1"
"1981-8114","BOLETIM DO MUSEU PARAENSE EMÍLIO GOELDI. CIÊNCIAS NATURAIS","CIÊNCIAS AMBIENTAIS","B4"
"2317-6237","BOLETIM DO MUSEU PARAENSE EMÍLIO GOELDI. CIÊNCIAS NATURAIS (ONLINE)","CIÊNCIAS AMBIENTAIS","B4"
"2178-2547","BOLETIM DO MUSEU PARAENSE EMÍLIO GOELDI. SÉRIE CIÊNCIAS HUMANAS","CIÊNCIAS AMBIENTAIS","A1"
"0101-7888","BOLETIM GAÚCHO DE GEOGRAFIA","CIÊNCIAS AMBIENTAIS","A3"
"2446-7251","BOLETIM GEOGRÁFICO DO RIO GRANDE DO SUL","CIÊNCIAS AMBIENTAIS","A3"
"0101-708X","BOLETIM GOIANO DE GEOGRAFIA","CIÊNCIAS AMBIENTAIS","A2"
"1984-8501","BOLETIM GOIANO DE GEOGRAFIA (ONLINE)","CIÊNCIAS AMBIENTAIS","A2"
"2237-8006","BOLETIM GOVERNET DE ADMINISTRAÇÃO PÚBLICA E GESTÃO MUNICIPAL","CIÊNCIAS AMBIENTAIS","B3"
"2357-9145","BOLETIM HISTORIAR","CIÊNCIAS AMBIENTAIS","B1"
"2526-7442","BOLETIM OBSERVATÓRIO DA DIVERSIDADE CULTURAL","CIÊNCIAS AMBIENTAIS","C"
"0067-964X","BOLETIM PARANAENSE DE GEOCIÊNCIAS","CIÊNCIAS AMBIENTAIS","B3"
"2447-0945","BOLETIM PAULISTA DE GEOGRAFIA","CIÊNCIAS AMBIENTAIS","A1"
"0102-549X","BOLETIM TÉCNICO DO SENAC","CIÊNCIAS AMBIENTAIS","A4"
"1134-6094","BOLETÍN DE LA SEA","CIÊNCIAS AMBIENTAIS","A4"
"0373-580X","BOLETÍN DE LA SOCIEDAD ARGENTINA DE BOTÁNICA (IMPRESA)","CIÊNCIAS AMBIENTAIS","B3"
"0366-3175","BOLETÍN DE LA SOCIEDAD ESPAÑOLA DE CERÁMICA Y VIDRIO","CIÊNCIAS AMBIENTAIS","A3"
"0255-4402","BOLETIN DE LA SOCIEDAD ZOOLOGICA DEL URUGUAY","CIÊNCIAS AMBIENTAIS","C"
"0326-7857","BOLETÍN DE MEDIO AMBIENTE Y URBANIZACIÓN","CIÊNCIAS AMBIENTAIS","B2"
"0717-7917","BOLETÍN LATINOAMERICANO Y DEL CARIBE DE PLANTAS MEDICINALES Y AROMÁTICAS","CIÊNCIAS AMBIENTAIS","B2"
"2594-942X","BOMGEAM","CIÊNCIAS AMBIENTAIS","B4"
"2190-7307","BONN ZOOLOGICAL BULLETIN","CIÊNCIAS AMBIENTAIS","B3"
"0717-9200","BOSQUE","CIÊNCIAS AMBIENTAIS","B1"
"0304-8799","BOSQUE (VALDIVIA. IMPRESA)","CIÊNCIAS AMBIENTAIS","B1"
"0253-1453","BOTANICA HELVETICA","CIÊNCIAS AMBIENTAIS","C"
"1437-4323","BOTANICA MARINA","CIÊNCIAS AMBIENTAIS","A4"
"0024-4074","BOTANICAL JOURNAL OF THE LINNEAN SOCIETY (PRINT)","CIÊNCIAS AMBIENTAIS","A1"
"1916-2804","BOTANY (OTTAWA. ONLINE)","CIÊNCIAS AMBIENTAIS","A3"
"1916-2790","BOTANY (OTTAWA. PRINT)","CIÊNCIAS AMBIENTAIS","A3"
"0006-8314","BOUNDARY - LAYER METEOROLOGY","CIÊNCIAS AMBIENTAIS","A2"
"1678-4499","BRAGANTIA.","CIÊNCIAS AMBIENTAIS","A3"
"0006-8705","BRAGANTIA (SÃO PAULO, SP. IMPRESSO)","CIÊNCIAS AMBIENTAIS","A3"
"0889-1591","BRAIN, BEHAVIOR, AND IMMUNITY","CIÊNCIAS AMBIENTAIS","A1"
"0361-9230","BRAIN RESEARCH BULLETIN","CIÊNCIAS AMBIENTAIS","A3"
"2675-1712","BRASILIAN JOURNAL OF  AGROECOLOGY AND SUSTAINABILITY","CIÊNCIAS AMBIENTAIS","C"
"2595-3621","BRAZILIAN APPLIED SCIENCE REVIEW","CIÊNCIAS AMBIENTAIS","C"
"2525-3621","BRAZILIAN APPLIED SCIENCE REVIEW","CIÊNCIAS AMBIENTAIS","C"
"1516-8913","BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY (IMPRESSO)","CIÊNCIAS AMBIENTAIS","A4"
"1678-4324","BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY (ONLINE)","CIÊNCIAS AMBIENTAIS","A4"
"2179-2321","BRAZILIAN GEOGRAPHICAL JOURNAL: GEOSCIENCES AND HUMANITIES RESEARCH MEDIUM","CIÊNCIAS AMBIENTAIS","A3"
"2318-2407","BRAZILIAN JOURNAL OF AGRICULTURE - REVISTA DE AGRICULTURA","CIÊNCIAS AMBIENTAIS","B4"
"2179-3433","BRAZILIAN JOURNAL OF ANALYTICAL CHEMISTRY","CIÊNCIAS AMBIENTAIS","B3"
"2179-3425","BRAZILIAN JOURNAL OF ANALYTICAL CHEMISTRY (PRINT)","CIÊNCIAS AMBIENTAIS","B3"
"2595-573X","BRAZILIAN JOURNAL OF ANIMAL AND ENVIRONMENTAL RESEARCH","CIÊNCIAS AMBIENTAIS","B4"
"1808-7035","BRAZILIAN JOURNAL OF AQUATIC SCIENCE AND TECHNOLOGY (IMPRESSO)","CIÊNCIAS AMBIENTAIS","C"
"1983-9057","BRAZILIAN JOURNAL OF AQUATIC SCIENCE AND TECHNOLOGY (ONLINE)","CIÊNCIAS AMBIENTAIS","C"
"1519-6984","BRAZILIAN JOURNAL OF BIOLOGY (IMPRESSO)","CIÊNCIAS AMBIENTAIS","A3"
"1678-4375","BRAZILIAN JOURNAL OF BIOLOGY (ONLINE)","CIÊNCIAS AMBIENTAIS","A3"
"1806-9959","BRAZILIAN JOURNAL OF BOTANY","CIÊNCIAS AMBIENTAIS","A4"
"2596-1934","BRAZILIAN JOURNAL OF BUSINESS","CIÊNCIAS AMBIENTAIS","C"
"0104-6632","BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING (IMPRESSO)","CIÊNCIAS AMBIENTAIS","A3"
"1678-4383","BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING (ONLINE)","CIÊNCIAS AMBIENTAIS","A3"
"2525-8761","BRAZILIAN JOURNAL OF DEVELOPMENT","CIÊNCIAS AMBIENTAIS","C"
"2448-3184","BRAZILIAN JOURNAL OF FOOD RESEARCH","CIÊNCIAS AMBIENTAIS","C"
"0100-350X","BRAZILIAN JOURNAL OF FOOD TECHNOLOGY","CIÊNCIAS AMBIENTAIS","B2"
"1981-6723","BRAZILIAN JOURNAL OF FOOD TECHNOLOGY (ONLINE)","CIÊNCIAS AMBIENTAIS","B2"
"2675-6951","BRAZILIAN JOURNAL OF FORENSIC ANTHROPOLOGY & LEGAL MEDICINE","CIÊNCIAS AMBIENTAIS","C"
"2317-4692","BRAZILIAN JOURNAL OF GEOLOGY","CIÊNCIAS AMBIENTAIS","A2"
"2317-4889","BRAZILIAN JOURNAL OF GEOLOGY","CIÊNCIAS AMBIENTAIS","A2"
"1809-4511","BRAZILIAN JOURNAL OF GEOPHYSICS","CIÊNCIAS AMBIENTAIS","B2"
"2596-321X","BRAZILIAN JOURNAL OF HEALTH AND PHARMACY","CIÊNCIAS AMBIENTAIS","C"
"2595-6825","BRAZILIAN JOURNAL OF HEALTH REVIEW","CIÊNCIAS AMBIENTAIS","B3"
"1981-1640","BRAZILIAN JOURNAL OF INFORMATION SCIENCE","CIÊNCIAS AMBIENTAIS","A4"
"1414-431X","BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH","CIÊNCIAS AMBIENTAIS","A3"
"0100-879X","BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH (IMPRESSO)","CIÊNCIAS AMBIENTAIS","A3"
"1517-8382","BRAZILIAN JOURNAL OF MICROBIOLOGY","CIÊNCIAS AMBIENTAIS","A2"
"1678-4405","BRAZILIAN JOURNAL OF MICROBIOLOGY (ONLINE)","CIÊNCIAS AMBIENTAIS","A2"
"1679-8759","BRAZILIAN JOURNAL OF OCEANOGRAPHY (IMPRESSO)","CIÊNCIAS AMBIENTAIS","A4"
"1982-436X","BRAZILIAN JOURNAL OF OCEANOGRAPHY (ONLINE)","CIÊNCIAS AMBIENTAIS","A4"
"2237-8960","BRAZILIAN JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT","CIÊNCIAS AMBIENTAIS","B3"
"1808-8694","BRAZILIAN JOURNAL OF OTORHINOLARYNGOLOGY (IMPRESSO)","CIÊNCIAS AMBIENTAIS","A3"
"1982-0593","BRAZILIAN JOURNAL OF PETROLEUM AND GAS","CIÊNCIAS AMBIENTAIS","B2"
"1984-8250","BRAZILIAN JOURNAL OF PHARMACEUTICAL SCIENCES","CIÊNCIAS AMBIENTAIS","B1"
"2175-9790","BRAZILIAN JOURNAL OF PHARMACEUTICAL SCIENCES (ONLINE)","CIÊNCIAS AMBIENTAIS","B1"
"1678-4448","BRAZILIAN JOURNAL OF PHYSICS","CIÊNCIAS AMBIENTAIS","A3"
"0103-9733","BRAZILIAN JOURNAL OF PHYSICS (IMPRESSO)","CIÊNCIAS AMBIENTAIS","A3"
"2447-5580","BRAZILIAN JOURNAL OF PRODUCTION ENGINEERING","CIÊNCIAS AMBIENTAIS","B2"
"2319-0612","BRAZILIAN JOURNAL OF RADIATION SCIENCES","CIÊNCIAS AMBIENTAIS","B1"
"2595-5748","BRAZILIAN JOURNAL OF TECHNOLOGY","CIÊNCIAS AMBIENTAIS","C"
"2357-7126","BRAZILIAN JOURNAL OF TECHNOLOGY, COMMUNICATION, AND COGNITIVE SCIENCE","CIÊNCIAS AMBIENTAIS","B3"
"2527-2179","BRAZILIAN JOURNAL OF VETERINARY MEDICINE","CIÊNCIAS AMBIENTAIS","B2"
"1678-4456","BRAZILIAN JOURNAL OF VETERINARY RESEARCH AND ANIMAL SCIENCE (ONLINE)","CIÊNCIAS AMBIENTAIS","B1"
"1413-9596","BRAZILIAN JOURNAL OF VETERINARY RESEARCH AND ANIMAL SCIENCE (PRINT)","CIÊNCIAS AMBIENTAIS","B1"
"1981-3821","BRAZILIAN POLITICAL SCIENCE REVIEW","CIÊNCIAS AMBIENTAIS","A1"
"2257-0543","BRESIL(S)","CIÊNCIAS AMBIENTAIS","A4"
"2425-231X","BRÉSIL(S) - SCIENCES HUMAINES ET SOCIALES","CIÊNCIAS AMBIENTAIS","A4"
"1467-5463","BRIEFINGS IN BIOINFORMATICS","CIÊNCIAS AMBIENTAIS","A1"
"0306-5251","BRITISH JOURNAL OF CLINICAL PHARMACOLOGY (PRINT)","CIÊNCIAS AMBIENTAIS","A1"
"2231-4784","BRITISH JOURNAL OF ENVIRONMENT AND CLIMATE CHANGE","CIÊNCIAS AMBIENTAIS","C"
"0007-1145","BRITISH JOURNAL OF NUTRITION","CIÊNCIAS AMBIENTAIS","A1"
"0007-1668","BRITISH POULTRY SCIENCE (PRINT)","CIÊNCIAS AMBIENTAIS","A2"
"1938-436X","BRITTONIA","CIÊNCIAS AMBIENTAIS","B1"
"0007-196X","BRITTONIA (BRONX, N.Y.)","CIÊNCIAS AMBIENTAIS","B1"
"2595-0118","BRJP (IMPRESSO)","CIÊNCIAS AMBIENTAIS","B1"
"0125-6726","BUFFALO BULLETIN","CIÊNCIAS AMBIENTAIS","B3"
"0360-1323","BUILDING AND ENVIRONMENT","CIÊNCIAS AMBIENTAIS","A1"
"2237-2075","BUILDING THE WAY - REVISTA DO CURSO DE LETRAS DA UEG/ITAPURANGA","CIÊNCIAS AMBIENTAIS","B1"
"2075-5309","BUILDINGS","CIÊNCIAS AMBIENTAIS","A1"
"2044-124X","BUILT ENVIRONMENT PROJECT AND ASSET MANAGEMENT","CIÊNCIAS AMBIENTAIS","B1"
"1310-0351","BULGARIAN JOURNAL OF AGRICULTURAL SCIENCE","CIÊNCIAS AMBIENTAIS","B1"
"0160-7782","BULLETIN - GEOTHERMAL RESOURCES COUNCIL","CIÊNCIAS AMBIENTAIS","C"
"1546-8755","BULLETIN, HELICONIA SOCIETY INTERNATIONAL","CIÊNCIAS AMBIENTAIS","B4"
"0007-4853","BULLETIN OF ENTOMOLOGICAL RESEARCH","CIÊNCIAS AMBIENTAIS","A2"
"0007-4861","BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY","CIÊNCIAS AMBIENTAIS","A4"
"0007-4977","BULLETIN OF MARINE SCIENCE","CIÊNCIAS AMBIENTAIS","A4"
"0250-4707","BULLETIN OF MATERIALS SCIENCE","CIÊNCIAS AMBIENTAIS","A4"
"0003-0007","BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY","CIÊNCIAS AMBIENTAIS","A1"
"0007-1595","BULLETIN OF THE BRITISH ORNITHOLOGISTS' CLUB","CIÊNCIAS AMBIENTAIS","B3"
"2327-6096","BULLETIN OF THE ECOLOGICAL SOCIETY OF AMERICA (ONLINE)","CIÊNCIAS AMBIENTAIS","B4"
"0007-6503","BUSINESS & SOCIETY","CIÊNCIAS AMBIENTAIS","A1"
"0964-4733","BUSINESS STRATEGY AND THE ENVIRONMENT","CIÊNCIAS AMBIENTAIS","A1"
"1947-6337","C Y TA JOURNAL OF FOOD","CIÊNCIAS AMBIENTAIS","A3"
"2316-915X","CAD. NATUROL. TERAP. COMPLEM.","CIÊNCIAS AMBIENTAIS","B3"
"2175-7941","CADERNO BRASILEIRO DE ENSINO DE FÍSICA","CIÊNCIAS AMBIENTAIS","A1"
"1984-6738","CADERNO DE CIÊNCIAS AGRÁRIAS","CIÊNCIAS AMBIENTAIS","B4"
"2447-6218","CADERNO DE CIÊNCIAS AGRÁRIAS","CIÊNCIAS AMBIENTAIS","B4"
"2316-5952","CADERNO DE ESTUDOS E PESQUISAS DO TURISMO","CIÊNCIAS AMBIENTAIS","B3"
"1809-1466","CADERNO DE FÍSICA DA UEFS","CIÊNCIAS AMBIENTAIS","B1"
"2318-2962","CADERNO DE GEOGRAFIA","CIÊNCIAS AMBIENTAIS","A1"
"0103-8427","CADERNO DE GEOGRAFIA (PUCMG. IMPRESSO)","CIÊNCIAS AMBIENTAIS","A1"
"1677-5600","CADERNO DE PESQUISA. SÉRIE BIOLOGIA (UNISC)","CIÊNCIAS AMBIENTAIS","B4"
"1981-3082","CADERNO ESPAÇO FEMININO (ONLINE)","CIÊNCIAS AMBIENTAIS","B2"
"2447-8954","CADERNO PAIC","CIÊNCIAS AMBIENTAIS","B2"
"1983-0882","CADERNO PEDAGÓGICO (LAJEADO. ONLINE)","CIÊNCIAS AMBIENTAIS","A2"
"2237-5422","CADERNO PROFISSIONAL DE ADMINISTRAÇÃO (CPA) - UNIMEP","CIÊNCIAS AMBIENTAIS","B1"
"2317-6466","CADERNO PROFISSIONAL DE MARKETING","CIÊNCIAS AMBIENTAIS","B2"
"2176-5774","CADERNO PRUDENTINO DE GEOGRAFIA","CIÊNCIAS AMBIENTAIS","A3"
"1413-4551","CADERNO PRUDENTINO DE GEOGRAFIA","CIÊNCIAS AMBIENTAIS","A3"
"2525-9318","CADERNO SABERES","CIÊNCIAS AMBIENTAIS","C"
"1519-583X","CADERNO SUSTENTAR","CIÊNCIAS AMBIENTAIS","C"
"2358-2367","CADERNO VERDE DE AGROECOLOGIA E DESENVOLVIMENTO SUSTENTÁVEL","CIÊNCIAS AMBIENTAIS","C"
"1677-6976","CADERNO VIRTUAL DE TURISMO","CIÊNCIAS AMBIENTAIS","A4"
"2526-8910","CADERNOS BRASILEIROS DE TERAPIA OCUPACIONAL","CIÊNCIAS AMBIENTAIS","B1"
"2238-118X","CADERNOS CEPEC","CIÊNCIAS AMBIENTAIS","B2"
"1413-4519","CADERNOS CERU (USP)","CIÊNCIAS AMBIENTAIS","B3"
"2178-9770","CADERNOS CIMEAC","CIÊNCIAS AMBIENTAIS","B1"
"2526-5199","CADERNOS DA DEFENSORIA PÚBLICA DO ESTADO DE SÃO PAULO","CIÊNCIAS AMBIENTAIS","B4"
"1679-3765","CADERNOS DA ESCOLA DE NEGÓCIOS DA UNIBRASIL","CIÊNCIAS AMBIENTAIS","B3"
"2236-7934","CADERNOS DE AGROECOLOGIA","CIÊNCIAS AMBIENTAIS","B1"
"2316-1752","CADERNOS DE ARQUITETURA E URBANISMO (ONLINE)","CIÊNCIAS AMBIENTAIS","B1"
"0104-1096","CADERNOS DE CIÊNCIA & TECNOLOGIA","CIÊNCIAS AMBIENTAIS","A4"
"2358-1212","CADERNOS DE CIÊNCIAS SOCIAIS APLICADAS (ONLINE)","CIÊNCIAS AMBIENTAIS","B4"
"2446-6662","CADERNOS DE CIÊNCIAS SOCIAIS DA UFRPE","CIÊNCIAS AMBIENTAIS","B4"
"1677-9061","CADERNOS DE COMUNICAÇÃO (UFSM)","CIÊNCIAS AMBIENTAIS","B2"
"1980-5861","CADERNOS DE CULTURA E CIÊNCIA (URCA)","CIÊNCIAS AMBIENTAIS","C"
"2386-5229","CADERNOS DE DEREITO ACTUAL (ONLINE)","CIÊNCIAS AMBIENTAIS","A1"
"2238-1228","CADERNOS DE DIREITO","CIÊNCIAS AMBIENTAIS","B4"
"2316-9907","CADERNOS DE EDUCAÇÃO, TECNOLOGIA E SOCIEDADE","CIÊNCIAS AMBIENTAIS","A4"
"1645-3794","CADERNOS DE ESTUDOS AFRICANOS","CIÊNCIAS AMBIENTAIS","A1"
"1984-7785","CADERNOS DE ESTUDOS CULTURAIS","CIÊNCIAS AMBIENTAIS","A3"
"2447-6943","CADERNOS DE ESTUDOS E PESQUISA NA EDUCAÇÃO BÁSICA","CIÊNCIAS AMBIENTAIS","B2"
"2595-4091","CADERNOS DE ESTUDOS SOCIAIS","CIÊNCIAS AMBIENTAIS","B4"
"0102-4248","CADERNOS DE ESTUDOS SOCIAIS","CIÊNCIAS AMBIENTAIS","B4"
"1517-0128","CADERNOS DE ÉTICA E FILOSOFIA POLÍTICA (USP)","CIÊNCIAS AMBIENTAIS","A2"
"2674-5704","CADERNOS DE GÊNERO E TECNOLOGIA","CIÊNCIAS AMBIENTAIS","B3"
"1807-9415","CADERNOS DE GÊNERO E TECNOLOGIA (CEFET/PR)","CIÊNCIAS AMBIENTAIS","B3"
"2238-4960","CADERNOS DE GEOCIÊNCIAS","CIÊNCIAS AMBIENTAIS","C"
"0871-1623","CADERNOS DE GEOGRAFIA (COIMBRA)","CIÊNCIAS AMBIENTAIS","B1"
"2237-8871","CADERNOS DE HISTÓRIA","CIÊNCIAS AMBIENTAIS","A3"
"1982-7806","CADERNOS DE HISTÓRIA DA EDUCAÇÃO (ONLINE)","CIÊNCIAS AMBIENTAIS","A2"
"0104-9712","CADERNOS DE LINGUAGEM E SOCIEDADE","CIÊNCIAS AMBIENTAIS","B2"
"2178-2229","CADERNOS DE PESQUISA - UNIVERSIDADE FEDERAL DO MARANHÃO","CIÊNCIAS AMBIENTAIS","A3"
"1981-3090","CADERNOS DE PESQUISA DO CDHIS (ONLINE)","CIÊNCIAS AMBIENTAIS","A3"
"1980-5314","CADERNOS DE PESQUISA (FUNDAÇÃO CARLOS CHAGAS. ONLINE)","CIÊNCIAS AMBIENTAIS","A1"
"1980-9700","CADERNOS DE PESQUISA: PENSAMENTO EDUCACIONAL (CURITIBA. IMPRESSO)","CIÊNCIAS AMBIENTAIS","A4"
"2175-2613","CADERNOS DE PESQUISA: PENSAMENTO EDUCACIONAL (CURITIBA. ONLINE)","CIÊNCIAS AMBIENTAIS","A4"
"1983-1358","CADERNOS DE PROSPECÇÃO","CIÊNCIAS AMBIENTAIS","B2"
"2317-0026","CADERNOS DE PROSPECÇÃO","CIÊNCIAS AMBIENTAIS","B2"
"1678-4464","CADERNOS DE SAÚDE PÚBLICA","CIÊNCIAS AMBIENTAIS","A1"
"0102-311X","CADERNOS DE SAÚDE PÚBLICA (ENSP. IMPRESSO)","CIÊNCIAS AMBIENTAIS","A1"
"0104-4931","CADERNOS DE TERAPIA OCUPACIONAL DA UFSCAR","CIÊNCIAS AMBIENTAIS","B1"
"2175-0173","CADERNOS DO CEOM","CIÊNCIAS AMBIENTAIS","A1"
"1413-8409","CADERNOS DO CEOM (UNOCHAPECÓ)","CIÊNCIAS AMBIENTAIS","A1"
"2526-5318","CADERNOS DO CIM","CIÊNCIAS AMBIENTAIS","B3"
"1678-5029","CADERNOS DO PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO - PPGDIR./UFRGS","CIÊNCIAS AMBIENTAIS","B1"
"1679-3951","CADERNOS EBAPE. BR","CIÊNCIAS AMBIENTAIS","A2"
"1413-6651","CADERNOS ESPINOSANOS (USP)","CIÊNCIAS AMBIENTAIS","A4"
"2236-5710","CADERNOS GESTÃO PÚBLICA E CIDADANIA","CIÊNCIAS AMBIENTAIS","A3"
"2236-9996","CADERNOS METRÓPOLE","CIÊNCIAS AMBIENTAIS","A1"
"1517-2422","CADERNOS METRÓPOLE (PUCSP)","CIÊNCIAS AMBIENTAIS","A1"
"1809-4449","CADERNOS PAGU","CIÊNCIAS AMBIENTAIS","A1"
"0104-8333","CADERNOS PAGU (UNICAMP. IMPRESSO)","CIÊNCIAS AMBIENTAIS","A1"
"1678-5304","CADERNOS PARA O PROFESSOR (JUIZ DE FORA)","CIÊNCIAS AMBIENTAIS","C"
"1676-6288","CADERNOS PROLAM/USP","CIÊNCIAS AMBIENTAIS","B1"
"2358-291X","CADERNOS SAÚDE COLETIVA","CIÊNCIAS AMBIENTAIS","B1"
"1414-462X","CADERNOS SAÚDE COLETIVA (UFRJ)","CIÊNCIAS AMBIENTAIS","B1"
"1809-9475","CADERNOS UNIFOA","CIÊNCIAS AMBIENTAIS","B3"
"1982-1816","CADERNOS UNIFOA (ONLINE)","CIÊNCIAS AMBIENTAIS","B3"
"2236-4099","CADERNOS ZIGMUNT BAUMAN","CIÊNCIAS AMBIENTAIS","B4"
"2595-184X","CADERNOS 4 CAMPOS","CIÊNCIAS AMBIENTAIS","B4"
"0007-9723","CAHIERS DE BIOLOGIE MARINE","CIÊNCIAS AMBIENTAIS","B2"
"0366-5232","CALDASIA (BOGOTÁ)","CIÊNCIAS AMBIENTAIS","B2"
"2358-4750","CAMINHOS DA EDUCAÇÃO MATEMÁTICA EM REVISTA (ON-LINE)","CIÊNCIAS AMBIENTAIS","A4"
"1678-6343","CAMINHOS DE GEOGRAFIA (UFU)","CIÊNCIAS AMBIENTAIS","A1"
"2236-4552","CAMINHOS: REVISTA ONLINE DE DIVULGAÇÃO CIENTÍFICA DA UNIDAVI","CIÊNCIAS AMBIENTAIS","B4"
"2359-5329","CAMPO & NEGÓCIOS - GRÃOS","CIÊNCIAS AMBIENTAIS","B4"
"1809-6271","CAMPO - TERRITÓRIO","CIÊNCIAS AMBIENTAIS","A2"
"0213-9529","CAMPO ABIERTO ¿ REVISTA DE EDUCACIÓN","CIÊNCIAS AMBIENTAIS","A2"
"0008-3984","CANADIAN JOURNAL OF ANIMAL SCIENCE","CIÊNCIAS AMBIENTAIS","A4"
"0008-4034","CANADIAN JOURNAL OF CHEMICAL ENGINEERING","CIÊNCIAS AMBIENTAIS","A3"
"1939-019X","CANADIAN JOURNAL OF CHEMICAL ENGINEERING (ONLINE)","CIÊNCIAS AMBIENTAIS","A3"
"0706-652X","CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES (PRINT)","CIÊNCIAS AMBIENTAIS","A2"
"0045-5067","CANADIAN JOURNAL OF FOREST RESEARCH (PRINT)","CIÊNCIAS AMBIENTAIS","A2"
"0703-8992","CANADIAN JOURNAL OF REMOTE SENSING","CIÊNCIAS AMBIENTAIS","A1"
"0008-4271","CANADIAN JOURNAL OF SOIL SCIENCE","CIÊNCIAS AMBIENTAIS","A4"
"1480-3283","CANADIAN JOURNAL OF ZOOLOGY (ONLINE)","CIÊNCIAS AMBIENTAIS","A4"
"0008-4301","CANADIAN JOURNAL OF ZOOLOGY (PRINT)","CIÊNCIAS AMBIENTAIS","A4"
"0008-4476","CANADIAN MINERALOGIST","CIÊNCIAS AMBIENTAIS","A4"
"0344-5704","CANCER CHEMOTHERAPY AND PHARMACOLOGY","CIÊNCIAS AMBIENTAIS","A2"
"1109-6535","CANCER GENOMICS & PROTEOMICS","CIÊNCIAS AMBIENTAIS","A3"
"2177-4153","CAPITAL CIENTÍFICO","CIÊNCIAS AMBIENTAIS","B1"
"0144-8617","CARBOHYDRATE POLYMERS","CIÊNCIAS AMBIENTAIS","A1"
"0008-6215","CARBOHYDRATE RESEARCH (CHICAGO, ILL.. PRINT)","CIÊNCIAS AMBIENTAIS","A4"
"1750-0680","CARBON BALANCE AND MANAGEMENT","CIÊNCIAS AMBIENTAIS","A1"
"1758-3004","CARBON MANAGEMENT","CIÊNCIAS AMBIENTAIS","A4"
"1844-489X","CARPATHIAN JOURNAL OF EARTH AND ENVIRONMENTAL SCIENCES","CIÊNCIAS AMBIENTAIS","A4"
"0101-5532","CARTA CEPRO","CIÊNCIAS AMBIENTAIS","C"
"2666-0164","CASE STUDIES IN CHEMICAL AND ENVIRONMENTAL ENGINEERING","CIÊNCIAS AMBIENTAIS","C"
"2214-5095","CASE STUDIES IN CONSTRUCTION MATERIALS","CIÊNCIAS AMBIENTAIS","A2"
"1566-7367","CATALYSIS COMMUNICATIONS (PRINT)","CIÊNCIAS AMBIENTAIS","A2"
"1011-372X","CATALYSIS LETTERS","CIÊNCIAS AMBIENTAIS","A2"
"2044-4753","CATALYSIS SCIENCE & TECHNOLOGY","CIÊNCIAS AMBIENTAIS","A2"
"0920-5861","CATALYSIS TODAY (PRINT)","CIÊNCIAS AMBIENTAIS","A1"
"2073-4344","CATALYSTS","CIÊNCIAS AMBIENTAIS","A4"
"2176-4867","CATAVENTOS","CIÊNCIAS AMBIENTAIS","B3"
"0341-8162","CATENA (CREMLINGEN)","CIÊNCIAS AMBIENTAIS","A1"
"2211-1247","CELL REPORTS","CIÊNCIAS AMBIENTAIS","A1"
"2073-4409","CELLS","CIÊNCIAS AMBIENTAIS","A3"
"1462-5822","CELLULAR MICROBIOLOGY (ONLINE)","CIÊNCIAS AMBIENTAIS","A2"
"1572-882X","CELLULOSE","CIÊNCIAS AMBIENTAIS","A1"
"0576-9787","CELLULOSE CHEMISTRY AND TECHNOLOGY","CIÊNCIAS AMBIENTAIS","B2"
"0969-0239","CELLULOSE (LONDON)","CIÊNCIAS AMBIENTAIS","A1"
"0008-8846","CEMENT AND CONCRETE RESEARCH","CIÊNCIAS AMBIENTAIS","A1"
"2072-2001","CENTRO AGRÍCOLA","CIÊNCIAS AMBIENTAIS","B4"
"0187-7674","CER. CARTA ECONÓMICA REGIONAL","CIÊNCIAS AMBIENTAIS","A4"
"1678-4553","CERÂMICA","CIÊNCIAS AMBIENTAIS","B1"
