Sigla,Nome do evento,Estrato,quadrienio
ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,A1,2017-2020
ASPRS,Annual Conference and International Lidar Mapping Forum,B4,2017-2020
ASSETS,International ACM SIGACCESS Conference on Computers and Accessibility,A2,2017-2020
AST,IEEE/ACM International Workshop on Automation of Software Testing,B3,2017-2020
ASWEC,Australasian Software Engineering Conference,B3,2017-2020
ASYNC,IEEE International Symposium on Asynchronous Circuits and Systems,B2,2017-2020
ATC,USENIX Annual Technical Conference,A1,2017-2020
Atech,International Conference on Agreement Technologies,B3,2017-2020
ATS,Asian Test Symposium,B2,2017-2020
ATT,International Workshop on Agents in Traffic and Transportation,B4,2017-2020
AUDIOMOSTLY,Audio Mostly Conference,B1,2017-2020
AusDM,Australasian Data Mining Conference,B3,2017-2020
AVI,International Working Conference on Advanced Visual Interfaces,A4,2017-2020
AVSS,IEEE International Conference on Advanced Video and Signal Based Surveillance,A2,2017-2020
BCB,"ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics",A2,2017-2020
BCS-HCI,Conference of the British Computer Society Human Computer Interaction Specialist Group,B1,2017-2020
BDCAT,"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",B1,2017-2020
BDCLOUD,International Conference on Big Data and Cloud Computing,A4,2017-2020
BENCH,"International Symposium on Benchmarking, Measuring and Optimization",B2,2017-2020
BESC,"International Conference on Behavior, Economic and Social Computing",B3,2017-2020
BIATA,Bioinformatics: from Algorithms to Applications,B3,2017-2020
BIBE,IEEE International Conference on BioInformatics and BioEngineering,A3,2017-2020
BIBM,IEEE International Conference on Bioinformatics and Biomedicine,A2,2017-2020
BICT,EAI International Conference on Bio-inspired Information an Communications Technologies,B2,2017-2020
BIGDATA,IEEE International Conference on Big Data,A1,2017-2020
BigDataSE,IEEE International Conference On Big Data Science And Engineering,A3,2017-2020
BIGDATASERVICE,IEEE International Conference on Big Data Computing Service and Applications,A4,2017-2020
BIGDSE,IEEE/ACM International Workshop on Big Data Software Engineering,B2,2017-2020
BigSpatial,ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data,B3,2017-2020
BioCOMP-WC,International Conference on Bioinformatics & Computational Biology,B2,2017-2020
BioRob,IEEE RAS & EMBS International Conference on Biomedical Robotics and Biomechatronics,A3,2017-2020
BIOSENSORS,World Congress on Biosensors,B4,2017-2020
BIS,International Conference on Business Information Systems,A4,2017-2020
BLACKSEACOM,IEEE International Black Sea Conference on Communications and Networking,A4,2017-2020
BLOCKCHAIN,IEEE International Conference on Blockchain,A4,2017-2020
BMEI,International Conference BioMedical Engineering and Informatics,A4,2017-2020
BMVC,British Machine Vision Conference,A1,2017-2020
BPM,International Conference on Business Process Management,A2,2017-2020
BPMS2,Workshop on Social and Human Aspects of Business Process Management,B4,2017-2020
BRACIS,Brazilian Conference on Intelligent Systems,A4,2017-2020
BRAHUR,Brazilian Humanoid Robot Workshop,B4,2017-2020
BRAINS,"Blockchain, Robotics and AI for Networking Security Conference",B4,2017-2020
BRASERO,Brazilian Workshop on Service Robotics,B4,2017-2020
BRASNAM,Brazilian Workshop on Social Network Analysis and Mining,B4,2017-2020
BRESCI,Brazilian e-Science Workshop,B4,2017-2020
BSB,Brazilian Symposium on Bioinformatics,B1,2017-2020
BSN,IEEE-EMBS International Conference on Wearable and Implantable Body Sensor Networks,A3,2017-2020
BTAS,"IEEE International Conference on Biometrics: Theory, Applications, and Systems",A2,2017-2020
C&T,International Conference on Communities and Technologies,B3,2017-2020
C4BIE,"International Workshop on Cloud for Business, Industry and Enterprises",B4,2017-2020
CAD,International CAD Conference,A4,2017-2020
CADE,International Conference on Automated Deduction,A3,2017-2020
CAIP,International Conference on Computer Analysis of Images and Patterns,B1,2017-2020
CAISE,International Conference on Advanced Information Systems Engineering,A3,2017-2020
CALDAM,International Conference on Algorithms and Discrete Applied Mathematics,B3,2017-2020
CAMAD,IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks,A4,2017-2020
CANDAR,International Symposium on Computing and Networking,B1,2017-2020
CANS,International Conference on Cryptology and Network Security,A3,2017-2020
CAPSI,Conferência da Associação Portuguesa de Sistemas de Informação,B4,2017-2020
CARLA,Latin America High Performance Computing Conference,B3,2017-2020
CASA,Conference on Computer Animation and Social Agents,B3,2017-2020
CASCON,Annual International Conference on Computer Science and Software Engineering,B1,2017-2020
CASE,IEEE Conference on Automation Science and Engineering,A3,2017-2020
CASES,"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",B4,2017-2020
CATA,International Conference on Computers and their Applications,B4,2017-2020
CATE,Computers and Advanced Technology in Education,B4,2017-2020
CAV,International Conference on Computer Aided Verification,A1,2017-2020
CBA,Congresso Brasileiro de Automática,B4,2017-2020
CBEB,Congresso Brasileiro de Engenharia Biomédica,B4,2017-2020
CBI,IEEE Conference on Business Informatics,A4,2017-2020
CBIC,Congresso Brasileiro de Inteligência Computacional,B4,2017-2020
CBIS,Congresso Brasileiro de Informática em Saúde,B4,2017-2020
CBMI,International Workshop on Content-Based Multimedia Indexing,A4,2017-2020
CBMS,International Symposium on Computer-Based Medical Systems,A3,2017-2020
CBS,IEEE International Conference on Cyborg and Bionic Systems,B3,2017-2020
CBSF,Congresso Brasileiro de Sistemas Fuzzy,B4,2017-2020
CBSoft,Brazilian Conference on Software: Theory and Practice,B4,2017-2020
CBTMS,Congresso Brasileiro de Telemedicina e Telesaúde,B4,2017-2020
CC,International Conference on Compiler Construction,A3,2017-2020
CCC,IEEE Conference on Computational Complexity,A3,2017-2020
CCCG,Canadian Conference on Computational Geometry,B3,2017-2020
CCECE,Canadian Conference on Electrical and Computer Engineering,A3,2017-2020
CCGRID,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",A2,2017-2020
CCNC,Annual IEEE Consumer Communications & Networking Conference,A2,2017-2020
CCS,ACM Symposium on Computer and Communications Security,A1,2017-2020
CCSI,Workshop on Core Computations on Spatial Information,B4,2017-2020
CDC,IEEE Conference on Decision and Control,A1,2017-2020
CDH,International Conference on Digital Health,A4,2017-2020
CDVE,"International Conference on Cooperative Design, Visualization, and Engineering",B2,2017-2020
CEC,IEEE Congress on Evolutionary Computation,A1,2017-2020
CECC,Central European Cybersecurity Conference,B4,2017-2020
CELDA,Cognition and Exploratory Learning in Digital Age,B4,2017-2020
CENTERIS,Conference on ENTERprise Information Systems,A3,2017-2020
CESI,International Workshop on Conducting Empirical Studies in Industry,B3,2017-2020
CF,ACM International Conference on Computing Frontiers,A3,2017-2020
CGI,Computer Graphics International Conference,B1,2017-2020
CGO,International Symposium on Code Generation and Optimization,A2,2017-2020
CHASE,International Workshop on Cooperative and Human Aspects of Software Engineering,A3,2017-2020
CHES,Conference on Cryptographic Hardware and Embedded Systems,B3,2017-2020
CHI,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,A1,2017-2020
CHIIR,Conference on Human Information Interaction and Retrieval,A3,2017-2020
CHIPlay,ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play,A2,2017-2020
CIAC,International Conference on Algorithms and Complexity,B2,2017-2020
CIARP,Iberoamerican Congress on Pattern Recognition,A4,2017-2020
CIBCB,IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology,A4,2017-2020
CIbSE,Conferencia Iberoamericana de Software Engineering,B2,2017-2020
CIC,International Conference on Collaboration and Internet Computing,A3,2017-2020
CICC,IEEE Custom Integrated Circuits Conference,A3,2017-2020
CICLING,International Conference on Intelligent Text Processing and Computational Linguistics,A4,2017-2020
CIDI,Congresso Internacional de Design da Informação,B4,2017-2020
CIDM,Symposium on Computational Intelligence and Data Mining,B4,2017-2020
